record_id,price_date,diesel_price_per_gallon,region
F0001,2023-01-02,3.885,South
F0002,2023-01-02,3.825,Midwest
F0003,2023-01-02,3.79,Southeast
F0004,2023-01-02,3.99,West
F0005,2023-01-09,3.93,South
F0006,2023-01-09,4.019,Midwest
F0007,2023-01-09,3.794,Southeast
F0008,2023-01-09,4.064,West
F0009,2023-01-16,3.801,South
F0010,2023-01-16,3.903,Midwest
F0011,2023-01-16,3.737,Southeast
F0012,2023-01-16,3.978,West
F0013,2023-01-23,3.888,South
F0014,2023-01-23,3.88,Midwest
F0015,2023-01-23,3.866,Southeast
F0016,2023-01-23,4.116,West
F0017,2023-01-30,3.886,South
F0018,2023-01-30,3.917,Midwest
F0019,2023-01-30,3.772,Southeast
F0020,2023-01-30,3.949,West
F0021,2023-02-06,3.867,South
F0022,2023-02-06,3.873,Midwest
F0023,2023-02-06,3.793,Southeast
F0024,2023-02-06,4.139,West
F0025,2023-02-13,3.973,South
F0026,2023-02-13,4.009,Midwest
F0027,2023-02-13,3.895,Southeast
F0028,2023-02-13,4.183,West
F0029,2023-02-20,3.922,South
F0030,2023-02-20,4.022,Midwest
F0031,2023-02-20,3.904,Southeast
F0032,2023-02-20,4.158,West
F0033,2023-02-27,3.969,South
F0034,2023-02-27,3.9,Midwest
F0035,2023-02-27,3.853,Southeast
F0036,2023-02-27,4.074,West
F0037,2023-03-06,3.844,South
F0038,2023-03-06,3.87,Midwest
F0039,2023-03-06,3.822,Southeast
F0040,2023-03-06,4.096,West
F0041,2023-03-13,3.863,South
F0042,2023-03-13,3.884,Midwest
F0043,2023-03-13,3.814,Southeast
F0044,2023-03-13,4.145,West
F0045,2023-03-20,3.934,South
F0046,2023-03-20,3.905,Midwest
F0047,2023-03-20,3.925,Southeast
F0048,2023-03-20,4.033,West
F0049,2023-03-27,3.998,South
F0050,2023-03-27,3.985,Midwest
F0051,2023-03-27,3.89,Southeast
F0052,2023-03-27,4.123,West
F0053,2023-04-03,4.011,South
F0054,2023-04-03,3.962,Midwest
F0055,2023-04-03,3.847,Southeast
F0056,2023-04-03,4.108,West
F0057,2023-04-10,3.891,South
F0058,2023-04-10,4.073,Midwest
F0059,2023-04-10,3.981,Southeast
F0060,2023-04-10,4.09,West
F0061,2023-04-17,3.953,South
F0062,2023-04-17,4.097,Midwest
F0063,2023-04-17,3.935,Southeast
F0064,2023-04-17,4.11,West
F0065,2023-04-24,3.963,South
F0066,2023-04-24,3.959,Midwest
F0067,2023-04-24,3.937,Southeast
F0068,2023-04-24,4.204,West
F0069,2023-05-01,3.899,South
F0070,2023-05-01,4.09,Midwest
F0071,2023-05-01,3.922,Southeast
F0072,2023-05-01,4.056,West
F0073,2023-05-08,3.836,South
F0074,2023-05-08,3.979,Midwest
F0075,2023-05-08,3.929,Southeast
F0076,2023-05-08,4.072,West
F0077,2023-05-15,3.843,South
F0078,2023-05-15,4.003,Midwest
F0079,2023-05-15,3.839,Southeast
F0080,2023-05-15,4.129,West
F0081,2023-05-22,3.829,South
F0082,2023-05-22,4.007,Midwest
F0083,2023-05-22,3.92,Southeast
F0084,2023-05-22,4.104,West
F0085,2023-05-29,3.924,South
F0086,2023-05-29,3.879,Midwest
F0087,2023-05-29,3.857,Southeast
F0088,2023-05-29,4.071,West
F0089,2023-06-05,4.031,South
F0090,2023-06-05,3.97,Midwest
F0091,2023-06-05,3.933,Southeast
F0092,2023-06-05,4.085,West
F0093,2023-06-12,4.09,South
F0094,2023-06-12,4.037,Midwest
F0095,2023-06-12,4.018,Southeast
F0096,2023-06-12,4.223,West
F0097,2023-06-19,4.038,South
F0098,2023-06-19,4.048,Midwest
F0099,2023-06-19,4.011,Southeast
F0100,2023-06-19,4.176,West
F0101,2023-06-26,3.909,South
F0102,2023-06-26,3.905,Midwest
F0103,2023-06-26,3.988,Southeast
F0104,2023-06-26,4.189,West
F0105,2023-07-03,3.956,South
F0106,2023-07-03,3.961,Midwest
F0107,2023-07-03,4.029,Southeast
F0108,2023-07-03,4.251,West
F0109,2023-07-10,3.948,South
F0110,2023-07-10,3.923,Midwest
F0111,2023-07-10,3.968,Southeast
F0112,2023-07-10,4.179,West
F0113,2023-07-17,3.912,South
F0114,2023-07-17,3.975,Midwest
F0115,2023-07-17,3.844,Southeast
F0116,2023-07-17,4.163,West
F0117,2023-07-24,3.865,South
F0118,2023-07-24,3.974,Midwest
F0119,2023-07-24,3.928,Southeast
